sample,batch,class,order
QC1,1,NA,1
S001,1,no,2
S002,1,no,3
S003,1,yes,4
S004,1,no,5
S005,1,yes,6
S006,1,no,7
S007,1,yes,8
S008,1,yes,9
QC2,1,NA,10
S009,1,yes,11
S010,1,no,12
S011,1,no,13
S012,1,yes,14
S013,1,no,15
S014,1,yes,16
S015,1,no,17
S016,1,yes,18
QC3,1,NA,19
QC4,2,NA,20
S017,2,yes,21
S018,2,no,22
S019,2,yes,23
S020,2,no,24
S021,2,no,25
S022,2,yes,26
S023,2,yes,27
S024,2,no,28
QC5,2,NA,29
S025,2,yes,30
S026,2,no,31
S027,2,no,32
S028,2,yes,33
S029,2,no,34
S030,2,yes,35
S031,2,no,36
S032,2,yes,37
QC6,2,NA,38
QC7,3,NA,39
S033,3,yes,40
S034,3,no,41
S035,3,yes,42
S036,3,no,43
S037,3,yes,44
S038,3,yes,45
S039,3,yes,46
S040,3,no,47
QC8,3,NA,48
S041,3,no,49
S042,3,yes,50
S043,3,no,51
S044,3,no,52
S045,3,yes,53
S046,3,no,54
S047,3,yes,55
S048,3,no,56
QC9,3,NA,57
QC10,4,NA,58
S049,4,no,59
S050,4,yes,60
S051,4,no,61
S052,4,yes,62
S053,4,yes,63
S054,4,no,64
S055,4,yes,65
S056,4,no,66
QC11,4,NA,67
S057,4,yes,68
S058,4,no,69
S059,4,no,70
S060,4,no,71
S061,4,yes,72
S062,4,yes,73
S063,4,no,74
S064,4,yes,75
QC12,4,NA,76
QC13,5,NA,77
S065,5,yes,78
S066,5,no,79
S067,5,yes,80
S068,5,yes,81
S069,5,no,82
S070,5,yes,83
S071,5,yes,84
S072,5,yes,85
QC14,5,NA,86
S073,5,no,87
S074,5,no,88
S075,5,no,89
S076,5,yes,90
S077,5,no,91
S078,5,yes,92
S079,5,no,93
S080,5,no,94
QC15,5,NA,95
QC16,6,NA,96
S081,6,yes,97
S082,6,no,98
S083,6,no,99
S084,6,no,100
S085,6,no,101
S086,6,no,102
S087,6,yes,103
S088,6,yes,104
QC17,6,NA,105
S089,6,yes,106
S090,6,no,107
S091,6,yes,108
S092,6,yes,109
S093,6,no,110
S094,6,no,111
S095,6,yes,112
S096,6,yes,113
QC18,6,NA,114
QC19,7,NA,115
S097,7,no,116
S098,7,no,117
S099,7,yes,118
S100,7,yes,119
S101,7,yes,120
S102,7,no,121
S103,7,yes,122
S104,7,yes,123
QC20,7,NA,124
S105,7,no,125
S106,7,no,126
S107,7,no,127
S108,7,yes,128
S109,7,no,129
S110,7,no,130
S111,7,yes,131
S112,7,yes,132
QC21,7,NA,133
QC22,8,NA,134
S113,8,no,135
S114,8,no,136
S115,8,yes,137
S116,8,yes,138
S117,8,yes,139
S118,8,no,140
S119,8,yes,141
S120,8,no,142
QC23,8,NA,143
