"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",17.3837981407703,52.124833997344,69.2563081009296,79.0305444887118,84.1832669322709,87.7158034528552,90.3718459495352,92.3638778220452,93.9043824701195,94.6613545816733,95.5112881806109,96.0690571049137,96.7330677290837,97.2244355909694,97.7556440903054,98.0610889774236,98.5790172642762,99.0438247011952,99.2563081009296,99.3625498007968
"Batch_2",21.8990703851262,50.531208499336,67.2377158034529,77.4767596281541,83.2934926958831,87.3837981407703,90.4780876494024,92.3505976095618,93.7715803452855,94.9800796812749,95.9495351925631,96.6666666666667,97.3041168658699,97.808764940239,98.1540504648074,98.4594953519256,98.6188579017264,98.9243027888446,99.0969455511288,99.1766268260292
"Batch_3",23.7450199203187,51.1686586985392,67.7954847277556,77.3572377158034,82.9482071713147,86.4276228419655,89.0836653386454,90.8764940239044,92.4966799468792,93.9309428950863,94.9402390438247,95.7370517928287,96.3213811420983,96.9588313413015,97.3572377158034,97.7954847277556,98.1540504648074,98.5657370517928,98.7915006640106,98.9907038512616
"Batch_4",15.8831341301461,41.0358565737052,57.7025232403718,68.1806108897742,75.6440903054449,80.5444887118194,83.7051792828685,86.2018592297477,88.4860557768924,90.2124833997344,91.726427622842,93.0146082337317,94.0903054448871,95.0332005312085,95.8167330677291,96.5604249667995,97.2244355909694,97.8353253652058,98.2337317397078,98.67197875166
"Batch_5",5.33864541832669,20.464807436919,38.8180610889774,56.3612217795485,70.9030544488712,79.6148738379814,84.9933598937583,88.4594953519256,90.929614873838,92.6958831341301,94.1699867197875,95.3652058432935,96.1885790172643,96.9721115537849,97.5830013280213,98.0212483399734,98.3930942895086,98.6985391766268,98.8844621513944,99.0571049136786
"Batch_6",17.6626826029216,40.8233731739708,56.0557768924303,65.8300132802125,72.0451527224436,76.9189907038513,80.265604249668,83.3598937583001,85.9362549800797,87.7954847277556,89.5617529880478,91.2217795484728,92.6029216467464,93.7184594953519,94.8207171314741,95.6839309428951,96.4276228419655,97.0783532536521,97.6361221779548,97.9814077025232
"Batch_7",19.1102257636122,40.9561752988048,54.9269588313413,64.1832669322709,70.4780876494024,74.6879150066401,77.8353253652058,80.9561752988048,83.5590969455511,85.7636122177955,87.7290836653386,89.3625498007968,90.66401062417,92.0053120849934,93.2536520584329,94.2496679946879,95.3253652058433,96.0956175298805,96.7861885790173,97.2642762284197
"Batch_8",30.66401062417,60.6241699867198,76.1088977423639,83.4528552456839,87.7556440903054,90.5577689243028,92.2045152722444,93.4395750332005,94.5285524568393,95.1925630810093,96.0292164674635,96.5604249667995,96.9986719787517,97.3173970783533,97.6361221779548,97.9681274900398,98.3134130146082,98.5126162018592,98.6985391766268,98.8579017264276
"Total",1.47410358565737,18.3001328021248,38.2204515272244,51.2217795484728,61.5537848605578,69.5219123505976,77.4369189907038,84.8339973439575,89.4289508632138,92.7622841965471,95.2456839309429,96.6666666666667,97.543160690571,98.1540504648074,98.605577689243,99.136786188579,99.3758300132802,99.5883134130146,99.7609561752988,99.8273572377158
